date,median_price,price_before,price_after,absolute_shift,score
2026-03-20,67.74,,67.83,,
2026-03-21,67.93,,67.88,,
2026-03-22,67.83,,67.8825,,
2026-03-23,67.72,,67.94749999999999,,
2026-03-24,67.81,,67.96,,
2026-03-25,67.4,,67.96,,
2026-03-26,67.01,,67.96,,
2026-03-27,67.83,,67.96,,
2026-03-28,68.09,,67.98249999999999,,
2026-03-29,67.935,,67.98249999999999,,
2026-03-30,67.96,,68.01249999999999,,
2026-03-31,68.005,,68.01249999999999,,
2026-04-01,67.96,,68.02,,
2026-04-02,67.74,,68.025,,
2026-04-03,68.21,67.83,68.025,0.1950000000000074,1.143701722590772
2026-04-04,68.06,67.88,68.02,0.14000000000000057,0.8993210126354299
2026-04-05,68.02,67.8825,68.02,0.13750000000000284,0.8064563428524535
2026-04-06,67.96,67.94749999999999,68.025,0.07750000000001478,0.4545481205169147
2026-04-07,68.08,67.96,68.03,0.07000000000000739,0.5246039240374288
2026-04-08,67.96,67.96,68.03,0.07000000000000739,0.6092174601724685
2026-04-09,67.85,67.96,68.075,0.1150000000000091,1.0008572559976001
2026-04-10,68.14,67.96,68.13,0.1700000000000017,1.479528117561432
2026-04-11,68.17,67.98249999999999,68.14500000000001,0.16250000000002274,1.3700593551869333
2026-04-12,68.12,67.98249999999999,68.155,0.17250000000001364,1.2578341190240048
2026-04-13,67.9,68.01249999999999,68.21000000000001,0.19750000000001933,1.480132499962617
2026-04-14,68.02,68.01249999999999,68.21000000000001,0.19750000000001933,1.211017499969466
2026-04-15,68.03,68.02,68.235,0.2150000000000034,1.2084626107288732
2026-04-16,67.96,68.025,68.265,0.23999999999999488,1.1562698733884196
2026-04-17,67.96,68.025,68.32,0.2949999999999875,1.4738872151524416
2026-04-18,68.39,68.02,68.35,0.3299999999999983,1.3489815189531322
2026-04-19,68.24,68.02,68.35,0.3299999999999983,1.1414459006527338
2026-04-20,68.03,68.025,68.37,0.34499999999999886,1.2247332211549267
2026-04-21,68.23,68.03,68.39,0.35999999999999943,1.3489815189531904
2026-04-22,68.29,68.03,68.39,0.35999999999999943,1.3489815189531371
2026-04-23,68.19,68.075,68.44,0.3649999999999949,1.2009225717510041
2026-04-24,68.39,68.13,68.44,0.3100000000000023,1.0199616362816966
2026-04-25,68.55,68.14500000000001,68.495,0.3499999999999943,1.098008213101435
2026-04-26,68.39,68.155,68.495,0.3400000000000034,1.0666365498699582
2026-04-27,68.08,68.21000000000001,68.53,0.3199999999999932,1.0658619409012604
2026-04-28,68.35,68.21000000000001,68.565,0.35499999999998977,1.2602327348115119
2026-04-29,68.35,68.235,68.58,0.34499999999999886,1.224733221154881
2026-04-30,68.72,68.265,68.58,0.3149999999999977,1.2140833670578823
2026-05-01,68.65,68.32,68.58,0.2600000000000051,1.0021005569366916
2026-05-02,68.49,68.35,68.565,0.2150000000000034,0.9667700885831444
2026-05-03,68.62,68.35,68.58,0.23000000000000398,1.0342191645307581
2026-05-04,68.69,68.37,68.58,0.20999999999999375,0.8584427847884097
2026-05-05,68.03,68.39,68.58,0.18999999999999773,0.7766863290942224
2026-05-06,68.5,68.39,68.58,0.18999999999999773,0.7766863290942224
2026-05-07,68.375,68.44,68.58,0.14000000000000057,0.5722951898589346
2026-05-08,68.56,68.44,68.59,0.15000000000000568,0.6131734177060221
2026-05-09,68.57,68.495,68.64,0.14499999999999602,0.5927343037824493
2026-05-10,68.74,68.495,68.715,0.21999999999999886,0.9274247942803334
2026-05-11,68.69,68.53,68.69,0.1599999999999966,0.7708465822589856
2026-05-12,68.59,68.565,68.69,0.125,0.7331421298658516
2026-05-13,68.33,68.58,68.69,0.10999999999999943,0.6182831961869255
2026-05-14,68.59,68.58,68.69,0.10999999999999943,0.7809893004466477
2026-05-15,68.56,68.58,68.715,0.13500000000000512,0.8672024050414541
2026-05-16,68.79,68.565,68.74,0.17499999999999716,1.1803588290840896
2026-05-17,68.74,68.58,68.74,0.1599999999999966,0.9810774683295772
2026-05-18,68.79,68.58,68.74,0.1599999999999966,1.0791852151624373
2026-05-19,68.28,68.58,68.715,0.13500000000000512,0.9105625252933605
2026-05-20,68.5,68.58,68.74,0.1599999999999966,1.0791852151624373
2026-05-21,68.79,68.58,68.765,0.18500000000000227,1.24780790503161
2026-05-22,68.74,68.59,68.77,0.1799999999999926,1.3489815189531906
2026-05-23,68.8,68.64,68.8,0.1599999999999966,1.0791852151625907
2026-05-24,68.69,68.715,68.845,0.12999999999999545,0.876837987319593
2026-05-25,68.69,68.69,68.89,0.20000000000000284,0.9992455695950374
2026-05-26,68.62,68.69,68.91,0.21999999999999886,1.099170126554462
2026-05-27,68.66,68.69,68.93,0.2400000000000091,1.199094683513947
2026-05-28,68.8,68.69,68.93,0.2400000000000091,1.199094683513947
2026-05-29,68.74,68.715,68.95,0.23499999999999943,1.1741135442740258
2026-05-30,68.93,68.74,68.97999999999999,0.23999999999999488,1.245213709802826
2026-05-31,68.89,68.74,68.99,0.25,1.1629151025458857
2026-06-01,68.69,68.74,68.995,0.25500000000000966,1.5288457214803792
2026-06-02,68.89,68.715,69.0,0.2849999999999966,1.5378389316066188
2026-06-03,68.99,68.74,69.0025,0.26250000000000284,1.311509810093344
2026-06-04,68.97,68.765,69.02250000000001,0.2575000000000074,1.2865286708534938
2026-06-05,68.93,68.77,69.095,0.32500000000000284,1.2526256961708
2026-06-06,68.93,68.8,69.17,0.37000000000000455,1.3864532278130755
2026-06-07,69.04,68.845,69.19,0.34499999999999886,1.1933298052278167
2026-06-08,68.99,68.89,69.19,0.29999999999999716,1.1562698733884567
2026-06-09,69.005,68.91,69.22999999999999,0.3199999999999932,1.2696296648970804
2026-06-10,69.0,68.93,69.22999999999999,0.29999999999998295,1.4716162024942754
2026-06-11,69.0,68.93,69.28,0.3499999999999943,1.7816737042776702
2026-06-12,69.3,68.95,69.28,0.3299999999999983,1.5090301737441576
