client_id,subscription_creation_date,car_count,april_2025_fines,may_2025_fines,jun_2025_fines,jul_2025_fines,aug_2025_fines,fines_last_6_month,fines_last_12_month,fines_last_24_month,fines_last_36_month,car_price_median,car_year_median,fines_apr_aug_2025,fines_recent_monthly_2025,fines_long_monthly_2025,fine_recent_vs_long_2025,cluster,cluster_label,cluster_id,fuel_tx_count_30d_pre,fuel_liters_30d_pre,fuel_spend_30d_pre,fuel_avg_liters_pre,fuel_active_days_30d_pre,fuel_weekend_share_pre,fuel_night_share_pre,fuel_small_fill_share_pre,fuel_large_fill_share_pre,fuel_avg_price_pre,fine_count_30d_pre,fine_amount_30d_pre,fine_speeding_share_pre,fine_regions_count_pre,fuel_tx_count_30d_post,fuel_liters_30d_post,fuel_spend_30d_post,fuel_avg_liters_post,fuel_active_days_30d_post,fuel_weekend_share_post,fuel_night_share_post,fuel_small_fill_share_post,fuel_large_fill_share_post,fuel_avg_price_post,fine_count_30d_post,fine_amount_30d_post,fine_speeding_share_post,fine_regions_count_post,eligible_comparison,fuel_tx_count_30d_delta,fuel_liters_30d_delta,fuel_spend_30d_delta,fuel_avg_liters_delta,fuel_avg_price_delta,fuel_active_days_30d_delta,fuel_weekend_share_delta,fuel_night_share_delta,fuel_small_fill_share_delta,fuel_large_fill_share_delta,fine_count_30d_delta,fine_amount_30d_delta,fine_speeding_share_delta,fine_regions_count_delta
00049004b7a7343f78e9102655724e90,2023-08-26,2,0,2,0,0,2,0,8,8,8,2618049.5,2022.5,4,0.0,0.2222222222222222,-0.2222222222222222,3,"Кластер 3: несколько автомобилей, дорогой автопарк",3,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,0.0,8.804347826086957,231.2086956521739,16175.805456521739,26.26074074074074,8.804347826086957,0.4074074074074074,0.7777777777777778,0.2222222222222222,0.0,69.96192513821505,0.0,0.0,,0.0,True,8.804347826086957,231.2086956521739,16175.805456521739,,,8.804347826086957,,,,,0.0,0.0,,0.0
000785004fc8858930fba388ae2753a8,2019-06-25,2,1,0,0,1,1,1,5,5,11,1375385.0,2014.0,3,0.16666666666666666,0.3055555555555556,-0.13888888888888892,3,"Кластер 3: несколько автомобилей, дорогой автопарк",3,0.821917808219178,60.04931506849315,4230.474246575342,73.06,0.821917808219178,0.5,0.0,0.0,1.0,70.44999999999999,0.0,0.0,,0.0,1.6304347826086958,45.21195652173913,3077.475945652174,27.73,1.6304347826086958,0.6,0.0,0.2,0.0,68.06774540209159,0.0,0.0,,0.0,True,0.8085169743895178,-14.837358546754018,-1152.9983009231678,-45.33,-2.3822545979083998,0.8085169743895178,0.09999999999999998,0.0,0.2,-1.0,0.0,0.0,,0.0
0008bb56f8889602d088e86dbd9dc472,2025-03-10,1,0,2,1,2,0,9,17,17,17,1367490.0,2016.0,5,1.5,0.4722222222222222,1.0277777777777777,2,"Кластер 2: новые автомобили, дорогой автопарк",2,0.821917808219178,47.149315068493145,3618.2004657534244,57.364999999999995,0.821917808219178,0.5,0.0,0.0,0.5,76.73919463087249,0.410958904109589,308.2191780821918,1.0,1.0,3.5869565217391304,126.18586956521739,11187.855489130434,35.17909090909091,2.608695652173913,0.18181818181818182,0.18181818181818182,0.0,0.0,88.66171408636329,1.3043478260869565,978.2608695652174,1.0,2.0,True,2.765038713519952,79.03655449672425,7569.6550233770095,-22.185909090909085,11.9225194554908,1.786777843954735,-0.3181818181818182,0.18181818181818182,0.0,-0.5,0.8933889219773675,670.0416914830256,0.0,1.0
0008ca8e3bbd513d755f479af00c31e2,2023-06-20,1,0,0,0,0,0,2,4,4,6,1335714.0,2007.0,0,0.3333333333333333,0.16666666666666666,0.16666666666666666,1,"Кластер 1: возрастные автомобили, доступный автопарк",1,0.410958904109589,12.583561643835615,308.1714246575342,30.62,0.410958904109589,0.0,0.0,0.0,0.0,24.49,0.0,0.0,,0.0,1.6304347826086958,42.82826086956522,2166.8257826086956,26.268,1.6304347826086958,0.6,0.2,0.0,0.0,50.59336378864017,0.32608695652173914,489.1304347826087,1.0,1.0,True,1.2194758784991069,30.244699225729605,1858.6543579511613,-4.352,26.10336378864017,1.2194758784991069,0.6,0.2,0.0,0.0,0.32608695652173914,489.1304347826087,,1.0
00093f3709c78522d2b7877db9659082,2024-06-27,2,0,1,1,0,0,4,6,8,8,1027500.0,2008.5,2,0.6666666666666666,0.2222222222222222,0.4444444444444444,3,"Кластер 3: несколько автомобилей, дорогой автопарк",3,5.7534246575342465,141.73972602739724,9578.999794520547,24.635714285714283,5.342465753424658,0.21428571428571427,0.0,0.0,0.0,67.58161641055379,0.0,0.0,,0.0,2.9347826086956523,78.25434782608696,5365.321858695652,26.66444444444444,2.9347826086956523,0.2222222222222222,0.0,0.2222222222222222,0.0,68.56260396699724,0.0,0.0,,0.0,True,-2.818642048838594,-63.48537820131028,-4213.677935824895,2.028730158730159,0.980987556443452,-2.4076831447290052,0.007936507936507936,0.0,0.2222222222222222,0.0,0.0,0.0,,0.0
000c30e0449b137f28d713ef321d1249,2023-11-28,1,0,1,0,1,0,0,3,3,7,2747500.0,2022.0,2,0.0,0.19444444444444445,-0.19444444444444445,2,"Кластер 2: новые автомобили, дорогой автопарк",2,3.698630136986301,165.66575342465754,10803.077219178082,44.791111111111114,3.698630136986301,0.2222222222222222,0.0,0.0,0.1111111111111111,65.21008111728517,0.0,0.0,,0.0,4.239130434782608,151.65326086956523,10076.254663043479,35.77461538461539,4.239130434782608,0.3076923076923077,0.0,0.07692307692307693,0.0,66.44271679532113,0.0,0.0,,0.0,True,0.5405002977963074,-14.012492555092308,-726.8225561346026,-9.016495726495727,1.2326356780359617,0.5405002977963074,0.0854700854700855,0.0,0.07692307692307693,-0.1111111111111111,0.0,0.0,,0.0
000cda29bfc42d4076b3f37c930234ba,2023-10-06,1,1,0,0,1,1,5,11,11,13,952500.0,2007.0,3,0.8333333333333334,0.3611111111111111,0.47222222222222227,1,"Кластер 1: возрастные автомобили, доступный автопарк",1,6.575342465753424,246.78904109589038,16406.829863013696,37.5325,6.575342465753424,0.125,0.125,0.0,0.0625,66.48119296609605,1.643835616438356,2157.5342465753424,1.0,2.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,0.0,True,-6.575342465753424,-246.78904109589038,-16406.829863013696,,,-6.575342465753424,,,,,-1.643835616438356,-2157.5342465753424,,-2.0
0017352a98cab3e93588f2fa70ee51f1,2024-09-16,1,4,2,9,3,3,17,63,83,83,4148820.0,2020.0,21,2.8333333333333335,2.3055555555555554,0.5277777777777781,2,"Кластер 2: новые автомобили, дорогой автопарк",2,2.4657534246575343,141.47260273972603,11113.269945205479,57.375,2.4657534246575343,0.3333333333333333,0.0,0.0,1.0,78.5542198983297,1.643835616438356,1849.3150684931506,0.5,3.0,2.282608695652174,87.73695652173913,8208.221739130435,38.43714285714286,2.282608695652174,0.2857142857142857,0.0,0.0,0.2857142857142857,93.55489481899949,3.5869565217391304,4402.173913043478,0.6363636363636364,2.0,True,-0.1831447290053605,-53.7356462179869,-2905.0482060750437,-18.93785714285714,15.00067492066978,-0.1831447290053605,-0.047619047619047616,0.0,0.0,-0.7142857142857143,1.9431209053007743,2552.8588445503274,0.13636363636363635,-1.0
001744af3b6e9c763a53e912832aa270,2026-05-01,1,0,0,0,0,0,2,2,2,2,2801716.0,2013.0,0,0.3333333333333333,0.05555555555555555,0.2777777777777778,2,"Кластер 2: новые автомобили, дорогой автопарк",2,1.643835616438356,67.29863013698629,5179.4088904109585,40.94,1.643835616438356,0.75,0.5,0.0,0.0,76.96157975085491,0.0,0.0,,0.0,1.3043478260869565,32.719565217391306,3096.9637826086955,25.085,0.9782608695652174,0.0,0.5,0.5,0.0,94.65174008371535,0.0,0.0,,0.0,False,-0.33948779035139953,-34.579064919594984,-2082.445107802263,-15.854999999999997,17.690160332860444,-0.6655747468731387,-0.75,0.0,0.5,0.0,0.0,0.0,,0.0
00184ae4d36a0e7536756073ff5c1d67,2021-10-02,1,0,6,0,1,2,11,25,49,93,2337342.0,2014.0,9,1.8333333333333333,2.5833333333333335,-0.7500000000000002,1,"Кластер 1: возрастные автомобили, доступный автопарк",1,5.342465753424658,371.42465753424653,14053.520178082192,69.52307692307691,5.342465753424658,0.5384615384615384,0.0,0.0,1.0,37.83679918123479,2.054794520547945,1849.3150684931506,0.6,3.0,5.217391304347826,340.54891304347825,12723.658532608695,65.271875,4.891304347826087,0.25,0.0625,0.0625,0.9375,37.36220567817303,1.6304347826086958,1222.8260869565217,1.0,1.0,True,-0.1250744490768314,-30.875744490768284,-1329.8616454734965,-4.25120192307692,-0.4745935030617616,-0.45116140559857065,-0.28846153846153844,0.0625,0.0625,-0.0625,-0.4243597379392492,-626.4889815366289,0.4,-2.0
