client_id,subscription_creation_date,car_count,april_2025_fines,may_2025_fines,jun_2025_fines,jul_2025_fines,aug_2025_fines,fines_last_6_month,fines_last_12_month,fines_last_24_month,fines_last_36_month,car_price_median,car_year_median,fines_apr_aug_2025,fines_recent_monthly_2025,fines_long_monthly_2025,fine_recent_vs_long_2025,cluster,cluster_label,cluster_id
00049004b7a7343f78e9102655724e90,2023-08-26,2,0,2,0,0,2,0,8,8,8,2618049.5,2022.5,4,0.0,0.2222222222222222,-0.2222222222222222,3,"Кластер 3: несколько автомобилей, дорогой автопарк",3
000785004fc8858930fba388ae2753a8,2019-06-25,2,1,0,0,1,1,1,5,5,11,1375385.0,2014.0,3,0.16666666666666666,0.3055555555555556,-0.13888888888888892,3,"Кластер 3: несколько автомобилей, дорогой автопарк",3
0008bb56f8889602d088e86dbd9dc472,2025-03-10,1,0,2,1,2,0,9,17,17,17,1367490.0,2016.0,5,1.5,0.4722222222222222,1.0277777777777777,2,"Кластер 2: новые автомобили, дорогой автопарк",2
0008ca8e3bbd513d755f479af00c31e2,2023-06-20,1,0,0,0,0,0,2,4,4,6,1335714.0,2007.0,0,0.3333333333333333,0.16666666666666666,0.16666666666666666,1,"Кластер 1: возрастные автомобили, доступный автопарк",1
00093f3709c78522d2b7877db9659082,2024-06-27,2,0,1,1,0,0,4,6,8,8,1027500.0,2008.5,2,0.6666666666666666,0.2222222222222222,0.4444444444444444,3,"Кластер 3: несколько автомобилей, дорогой автопарк",3
000c30e0449b137f28d713ef321d1249,2023-11-28,1,0,1,0,1,0,0,3,3,7,2747500.0,2022.0,2,0.0,0.19444444444444445,-0.19444444444444445,2,"Кластер 2: новые автомобили, дорогой автопарк",2
000cda29bfc42d4076b3f37c930234ba,2023-10-06,1,1,0,0,1,1,5,11,11,13,952500.0,2007.0,3,0.8333333333333334,0.3611111111111111,0.47222222222222227,1,"Кластер 1: возрастные автомобили, доступный автопарк",1
0017352a98cab3e93588f2fa70ee51f1,2024-09-16,1,4,2,9,3,3,17,63,83,83,4148820.0,2020.0,21,2.8333333333333335,2.3055555555555554,0.5277777777777781,2,"Кластер 2: новые автомобили, дорогой автопарк",2
001744af3b6e9c763a53e912832aa270,2026-05-01,1,0,0,0,0,0,2,2,2,2,2801716.0,2013.0,0,0.3333333333333333,0.05555555555555555,0.2777777777777778,2,"Кластер 2: новые автомобили, дорогой автопарк",2
00184ae4d36a0e7536756073ff5c1d67,2021-10-02,1,0,6,0,1,2,11,25,49,93,2337342.0,2014.0,9,1.8333333333333333,2.5833333333333335,-0.7500000000000002,1,"Кластер 1: возрастные автомобили, доступный автопарк",1
