client_id,cluster,cluster_id,cluster_label,novelty_score_percentile,is_novel_client_pattern,top_changes
2d9f40ed835ca292477909494a599e7f,2,2,"Кластер 2: новые автомобили, дорогой автопарк",1.0,True,"средняя цена литра: выше на 56.23; сумма штрафов за 30 дней, руб.: выше на 6440.89; число штрафов за 30 дней: выше на 6.40"
c6069053a65fd47b25f80db2cec30079,0,0,"Кластер 0: низкая топливная активность, один автомобиль",1.0,True,"число штрафов за 30 дней: ниже на 5.43; сумма штрафов за 30 дней, руб.: ниже на 4297.20; число дней с заправками за 30 дней: выше на 16.96"
e1ff77a25a8658cb617e5a814f1a7439,3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",1.0,True,средняя цена литра: выше на 36.76; доля крупных заправок от 50 л: ниже на 0.60; объём топлива за 30 дней: ниже на 478.76
fdee3dc2686022e35cd104b3d6bfda00,1,1,"Кластер 1: возрастные автомобили, доступный автопарк",1.0,True,"сумма штрафов за 30 дней, руб.: ниже на 6727.22; число штрафов за 30 дней: ниже на 5.10; объём топлива за 30 дней: ниже на 807.42"
2486b82275646ed9f9ec3a0524fdde91,2,2,"Кластер 2: новые автомобили, дорогой автопарк",0.9999029314696175,True,"доля ночных заправок: выше на 1.00; число штрафов за 30 дней: ниже на 3.37; сумма штрафов за 30 дней, руб.: ниже на 2529.41"
4ebc65fbe335b6e693b49322030b0c8e,1,1,"Кластер 1: возрастные автомобили, доступный автопарк",0.9998831229546518,True,"сумма штрафов за 30 дней, руб.: ниже на 2773.97; число штрафов за 30 дней: ниже на 2.47; средняя цена литра: ниже на 6.59"
db7a6a749ae8fca6a3d9ad80b1b7a09d,2,2,"Кластер 2: новые автомобили, дорогой автопарк",0.9998058629392351,True,средняя цена литра: выше на 73.72; число заправок за 30 дней: выше на 31.22; расходы на топливо за 30 дней: выше на 68548.75
ff6e7b2b42fba5b66ae513d6e4d58eee,1,1,"Кластер 1: возрастные автомобили, доступный автопарк",0.9997662459093034,True,"число штрафов за 30 дней: выше на 0.89; сумма штрафов за 30 дней, руб.: выше на 670.04; объём топлива за 30 дней: ниже на 488.66"
92b9c446417fb58e1b40efb6d893607a,2,2,"Кластер 2: новые автомобили, дорогой автопарк",0.9997087944088526,True,расходы на топливо за 30 дней: выше на 43208.27; объём топлива за 30 дней: выше на 556.37; доля крупных заправок от 50 л: ниже на 0.80
a82afde67a9fda1b44be5c4e494a4d40,1,1,"Кластер 1: возрастные автомобили, доступный автопарк",0.9996493688639552,True,"сумма штрафов за 30 дней, руб.: выше на 3095.15; число штрафов за 30 дней: выше на 3.18; доля крупных заправок от 50 л: ниже на 0.88"
6689716f0d0c2012c3feafe97d6a9a75,2,2,"Кластер 2: новые автомобили, дорогой автопарк",0.9996117258784702,True,доля ночных заправок: выше на 0.96; доля крупных заправок от 50 л: ниже на 0.79; расходы на топливо за 30 дней: ниже на 38844.03
