client_id,scenario,observed_days,fine_count,fine_amount_rub,fuel_transactions,fuel_liters,observed_weeks,fuel_active_weeks,fine_active_weeks,gender,age_type_code,region_code,cars_count,vehicle_price_median,fines_2025,estimated_km,average_fine_amount_rub,fuel_active_week_share,fine_active_week_share,smoothed_fines_per_1000_km,log_estimated_km,log_fuel_transactions,raw_cluster_id,cluster_id,is_cautious_cluster,driver_type,assumed_liters_per_100km
000785004fc8858930fba388ae2753a8,base,61,0.0,0.0,2.0,146.12,9,2,0,M,A20,54,2,1375385.0,5.0,1826.5,0.0,0.2222222222222222,0.0,0.07177935874553426,7.510704191623933,1.0986122886681098,0,0,True,аккуратный,8.0
0008bb56f8889602d088e86dbd9dc472,base,61,1.0,750.0,2.0,114.72999999999999,9,2,1,M,A20,77,1,1367490.0,17.0,1434.1249999999998,750.0,0.2222222222222222,0.1111111111111111,0.6033708669923017,7.269007232413976,1.0986122886681098,0,0,True,аккуратный,8.0
0008ca8e3bbd513d755f479af00c31e2,base,61,0.0,0.0,1.0,30.62,9,1,0,M,A40,74,1,1335714.0,4.0,382.75,0.0,0.1111111111111111,0.0,0.18917550622654827,5.9499912989014065,0.6931471805599453,0,0,True,аккуратный,8.0
00093f3709c78522d2b7877db9659082,base,61,0.0,0.0,9.0,235.14,9,7,0,M,A40,66,2,1027500.0,6.0,2939.25,0.0,0.7777777777777778,0.0,0.04855555080947459,7.986249890731146,2.302585092994046,0,0,True,аккуратный,8.0
000c30e0449b137f28d713ef321d1249,base,61,0.0,0.0,8.0,355.90999999999997,9,7,0,M,A40,74,1,2747500.0,3.0,4448.875,0.0,0.7777777777777778,0.0,0.03374396769396792,8.400631284878116,2.1972245773362196,0,0,True,аккуратный,8.0
000cda29bfc42d4076b3f37c930234ba,base,61,3.0,4500.0,14.0,527.26,9,9,1,M,A20,16,1,952500.0,11.0,6590.75,1500.0,1.0,0.1111111111111111,0.44663747531946346,8.793574146112864,2.70805020110221,0,0,True,аккуратный,8.0
0017352a98cab3e93588f2fa70ee51f1,base,61,4.0,4500.0,5.0,287.54,9,5,3,F,A20,50,1,4148820.0,63.0,3594.2500000000005,1125.0,0.5555555555555556,0.3333333333333333,1.0177675222864955,8.18736880876649,1.791759469228055,1,1,False,неаккуратный,8.0
001744af3b6e9c763a53e912832aa270,base,61,0.0,0.0,3.0,132.09,9,3,0,F,A20,77,1,2801716.0,2.0,1651.125,0.0,0.3333333333333333,0.0,0.07763132227159532,7.40981761707797,1.3862943611198906,0,0,True,аккуратный,8.0
00184ae4d36a0e7536756073ff5c1d67,base,61,2.0,2250.0,10.0,702.61,9,8,1,M,A40,50,1,2337342.0,25.0,8782.625,1125.0,0.8888888888888888,0.1111111111111111,0.2334463234399198,9.080644471581184,2.3978952727983707,0,0,True,аккуратный,8.0
0019f8e59d82c3cf2204d22e54e4912f,base,61,0.0,0.0,6.0,177.78,9,3,0,M,A20,50,1,3380000.0,2.0,2222.25,0.0,0.3333333333333333,0.0,0.06134435783689429,7.706725368279749,1.9459101490553132,0,0,True,аккуратный,8.0
