order_id,client_id,order_datetime,order_fuel_volume,order_fuel_price_1liter,candidate_count,nearest_positive_order_id,nearest_time_delta_minutes,nearest_positive_volume,nearest_positive_price
b901cd1a6fe6e04ddbf5f6b1ff695aa3,8941322495379b48158e4ee4358a6939,2026-03-20 01:51:30.823,-20.79,65.9,0,,,,
771306d1541e8098bd4af334d6317034,3a452b70d0afff51f19852b060263e8e,2026-03-20 12:57:24.361,-46.68,68.29,0,,,,
d528e191c33733cf68fd4b251e5793c2,f42751c824aebd01ce4a5b8d10fe690f,2026-03-20 13:40:36.656,-46.89,65.4,0,,,,
f1ba106b193bb91752c0325e2587f1bb,67c30b343a0bd58c4e3b6365cadb5da4,2026-03-20 14:57:04.787,-40.62,69.48,0,,,,
17070a7586577f5c446715f3850240c7,fb40d6fdb3b94e21a8ddd055805d5469,2026-03-20 15:35:56.140,-85.11,32.99,0,,,,
e168172640858ac5c9dc2ccd95cbb626,d888e5f594e5456237e438fed1c0fea1,2026-03-20 16:23:02.947,-42.69,66.14,0,,,,
0cacae3eb4bbb84e0263be5c0b3ecc17,7060783356d7522d3ef2f469ad6f1234,2026-03-20 16:35:29.765,-35.62,71.22,0,,,,
d5a7f96046f144924e1d46d32b73665a,2393cd99470f21aa0988fc5746945c8a,2026-03-20 16:53:13.659,-44.52,69.44,0,,,,
b9b9ce279690983f70f2ed89e0d657ae,3797fab3046958a7f52a5bc44629d8f3,2026-03-20 17:00:27.919,-23.78,65.4,0,,,,
bcfa75b39755108201a88377037f8f06,58ff60bb370bdde0a656f3d49b2cd229,2026-03-20 20:07:03.645,-48.72,69.6,0,1daa6650f88f65f029812daa966c1cef,239.39988333333335,30.22,64.09
adc7edf8a7b20d9fdb2bed48dc60f6d8,0d518763a74d5bfeb745f25641af7d32,2026-03-20 22:11:48.835,-16.87,62.18,0,,,,
e567c329a45e870e8f6b395b9c5fb0a3,a07a4921ef4908f670e5f3059ca2289d,2026-03-20 22:54:14.049,-48.62,59.77,0,,,,
7ae472400439da33fa64ecfa1360305d,4316607e546f1d32689c99e093e24455,2026-03-21 06:07:01.953,-48.03,66.01,0,,,,
0fe12b57525768655bd6c5d06238f5c3,b85afc34cb571a5dd29520bedc9b6806,2026-03-21 10:26:51.930,-27.36,68.97,0,,,,
9149b72367739db02ef6f29f4d867ae4,89794c2e2b5590ed9ebadb022e00378c,2026-03-21 10:56:53.193,-45.62,67.32,0,,,,
4bd1fa1b408fcfdb13ecbc5070cf81f3,b8dbe85bf6d0d33a52bf1b8d44b69f47,2026-03-21 11:04:17.371,-35.62,62.12,0,78a611013fcaf2f5d44eddc67ac338a2,352.25478333333336,53.2,64.99
