negative_order_id,positive_order_id,client_id,positive_datetime,negative_datetime,time_delta_minutes,price,positive_volume,negative_volume,actual_volume,refund_type
68609395876ca8a0cb5be781cf6fe9f6,2b80fc78aa83ffbe661167ba9edaf610,22b49564f6336d22f46a1f73de080e29,2026-04-18 12:28:03.507,2026-04-18 12:30:57.762,2.9042499999999998,63.49,52.87,-37.12,15.75,partial_refund
3c650d5aa055325403bc639233c5c7ba,838fc7a61c4452054fc8e358d9d05bdc,4f3dfb7e93f09eff33d67d626f65f0e8,2026-06-14 14:57:26.307,2026-06-14 15:02:00.367,4.567666666666667,70.02,45.75,-25.62,20.13,partial_refund
c0d54eacc1f76ceff8998aa5afdf4800,cf7f50163e8baa9a09f498d345839c65,47291ec12c898850487fc4b2b4abaa3b,2026-06-19 09:03:37.609,2026-06-19 09:07:59.189,4.359666666666667,63.94,105.62,-105.62,0.0,full_cancellation
826b7f801225b7d4c88af2064b0f7b01,3ef1d2bbf6fe2b56b6bda7b1b096f5bc,b4f69fbef4321aee45e3b4feae2c7a7c,2026-07-03 02:03:26.230,2026-07-03 02:08:19.173,4.882383333333333,70.65,45.62,-15.62,30.0,partial_refund
96e0327bd8e2370348ca7c47e27f3332,90f788993bd168ab4d75aa74da160703,ddb9fcad8558db304db4c181a327a6e1,2026-07-04 08:31:36.124,2026-07-04 08:33:34.421,1.9716166666666666,71.48,34.99,-16.44,18.55,partial_refund
0945fa85f1f5df69a3960965ba77ae13,12f4c00b0ffcfd3301964471f9bf0312,3a8fa08125102f9ba0e5e18267b6c246,2026-07-05 23:17:48.041,2026-07-05 23:20:24.562,2.608683333333333,69.9,35.62,-32.15,3.469999999999999,partial_refund
ab350402742a3148289a71b83955176f,becbfd88548f9dcb2ea0060b43bae829,6949c24fc57033f215266a3465698dd9,2026-07-07 01:03:00.422,2026-07-07 01:06:49.450,3.817133333333333,68.36,35.62,-25.62,9.999999999999996,partial_refund
a191eb18c4a81a62fb490bed8e2fb7d9,467c1d81f323f0de076ea679b638e461,dc3413a900f2694656869d76e7a37a9b,2026-07-07 09:18:21.691,2026-07-07 09:20:48.411,2.445333333333333,65.96,34.42,-34.42,0.0,full_cancellation
ef0203bbb4322452b03748ac236906ee,ae4f43051370eaf59025b344a1b0c2cb,b2b95abf8fa5df040d73395c3025718f,2026-07-12 19:23:59.988,2026-07-12 19:26:58.952,2.9827333333333335,69.69,35.62,-22.83,12.79,partial_refund
2b0e9481358f24d08b11913e533c9f4e,c8740be9bc42050cc66c9699d22395db,95ab2996df278c026a6a8d82331d4a9f,2026-07-12 22:07:13.255,2026-07-12 22:10:00.803,2.792466666666667,71.8,35.62,-26.51,9.109999999999996,partial_refund
df0f45187c65e55ccb980768c6e1b81b,5bd4f80948077e5aa6b66bfbc079eccc,82969b567dcf3f843b0cb3244ffe9fad,2026-07-22 23:14:48.056,2026-07-22 23:17:15.917,2.46435,65.15,35.62,-10.96,24.659999999999997,partial_refund
a5cd954e2f59518bbab52377c3684831,09b9dbf58b404aca6340b7c177f6a67f,e507de3611ad3a03323ac964a25795ee,2026-07-30 22:16:32.041,2026-07-30 22:21:20.172,4.802183333333333,70.82,34.62,-15.62,19.0,partial_refund
3117f4d58ec67c7c278d3b6f017b95e2,84792e6ca5eee4d59bc3cf43beda134e,cc0a8945716296235da99841846bbdb2,2026-08-08 17:20:30.554,2026-08-08 17:23:04.876,2.572033333333333,69.09,35.62,-35.62,0.0,full_cancellation
eae0422d400670f63c2691c1b29e95db,aa1163fc96f120d408e4eb99e4e68dcc,4dde8eb8ccecb18e82ec469cc3f6832b,2026-08-13 17:08:29.729,2026-08-13 17:10:54.152,2.40705,65.61,55.62,-15.62,40.0,partial_refund
