region_name,observations,corr_price_fine_count,corr_volume_fine_count,corr_sales_count_fine_count,corr_fuel_revenue_fine_count,corr_price_total_fine_amount,corr_volume_total_fine_amount
Кемеровская область,5,0.6658579834418135,-0.09157016425268075,0.7879476282467865,0.1045053721321522,0.7981485127200889,-0.05592518139663592
Краснодарский край,5,-0.6021752850091837,0.8081175276318865,0.8332838982727196,0.8239842960988706,-0.5710203835959321,0.789902454937488
Красноярский край,5,0.7913192401694589,-0.25979148875769553,0.44157007022428413,-0.009647041913596072,0.15099641192723967,-0.1796852902857837
Ленинградская область,5,-0.48072781360626005,0.41757183022124095,0.5804315507454237,0.41186969828997716,-0.7845935498254347,0.7157062260077741
Москва,5,-0.26927596899697925,0.05007282033145423,0.13053963489807255,0.03969855928579908,-0.27989138142319403,0.04689962962087615
Московская область,5,0.05825967227797454,0.06785551625255977,0.1757233090453034,0.0875106046842213,0.032507849790973056,0.08149703622617051
Нижегородская область,5,0.6074906517271389,-0.5538821881378281,-0.5272125430913945,-0.5379509292317343,0.5747055711325489,-0.5420602876090536
Новосибирская область,5,0.3612643104973069,0.36927708707757095,0.3848085272850169,0.426531519199383,0.32905936891008697,0.3440254528253831
Омская область,5,-0.4851513878215913,0.7096181618342445,0.9324165322790988,0.6950663799382277,-0.47365840309398644,0.7365965483788207
Республика Башкортостан,5,0.3333698735688201,-0.5084769639561645,-0.48809701242791237,-0.4985005108391949,0.14032637938871015,-0.3846533799651172
Республика Татарстан,5,-0.15086755093956747,0.2780960737670869,0.2726807966305529,0.2833971572919389,-0.2560395831443087,0.3598443069082849
Самарская область,5,-0.3083237838721604,-0.015691772565579448,0.018072037284932327,-0.02964418774060245,-0.387084220036949,0.10147259135596988
Санкт-Петербург,5,0.04274452766251375,0.04396709350111837,0.017511043938335268,0.05259229855995478,-0.03010250427059801,0.13129880342053293
Свердловская область,5,0.8331185185496972,-0.2344129963711421,0.10629403107607316,-0.050930813115190265,0.7578179476805944,-0.16188271963619294
Тюменская область,5,-0.833004684516161,0.6486787233541382,0.7183389103369481,0.6127068483789287,-0.6692413433871268,0.6383974073338271
Челябинская область,5,-0.8977577342774768,0.9006447401469143,0.9113167687624706,0.8789596522690464,-0.7794700612666137,0.8079302126217086
