region_code,region_name,sale_count,active_clients,sold_volume_liters,sales_revenue_rub,weighted_price_rub_per_liter,average_sale_liters,average_sale_rub
77,Москва,75699,5265,2878445.58,208358416.20430002,72.38574098882218,38.02488249514525,2752.459295423982
50,Московская область,52416,3520,1960520.13,138622341.4208,70.70692072965352,37.40308550824176,2644.657002075702
78,Санкт-Петербург,46326,3187,1702341.2,122742342.0955,72.10208041460784,36.74699304925959,2649.5346478327506
66,Свердловская область,39965,2580,1377250.67,94722729.111,68.77668036349549,34.46142049293131,2370.14210211435
16,Республика Татарстан,27375,1919,965173.36,63481981.651,65.77262104602639,35.257474337899545,2318.976498666667
74,Челябинская область,22394,1461,760327.36,49961764.5638,65.71085981148963,33.95228007502009,2231.033516290078
52,Нижегородская область,20955,1522,745337.58,51548094.236,69.16073416826777,35.568483894058694,2459.9424593653066
54,Новосибирская область,19921,1239,714739.32,49268119.3286,68.93159219028274,35.878686812911,2473.175007710456
47,Ленинградская область,13569,917,488231.17,34671603.6609,71.0147278407071,35.981367086741834,2555.2069910015475
42,Кемеровская область,11979,692,421141.1,28655313.9505,68.04207414213431,35.156615744219046,2392.129055054679
24,Красноярский край,11628,780,405720.41,28396544.2278,69.99042574121425,34.89167612659099,2442.0832669246647
23,Краснодарский край,9728,726,362258.69,25644021.6591,70.78925189924361,37.23876336348684,2636.104200154194
55,Омская область,8740,536,306983.21,19788486.0655,64.46113474903073,35.12393707093822,2264.128840446224
72,Тюменская область,7079,490,251210.23,17347599.709400002,69.05610376376791,35.486683147337196,2450.5720736544713
63,Самарская область,6973,540,249908.31,16653522.182,66.63852907492353,35.8394249247096,2388.286559873799
02,Республика Башкортостан,3447,301,122664.79,7714667.9712000005,62.89227716608817,35.585955903684365,2238.0818019147086
