region_name,variable_x,variable_y,correlation,observations
Республика Башкортостан,weighted_price_rub_per_liter,weighted_price_rub_per_liter,1.0,5
Республика Башкортостан,sold_volume_liters,weighted_price_rub_per_liter,-0.6747071105325322,5
Республика Башкортостан,fuel_sale_count,weighted_price_rub_per_liter,-0.6881748122750525,5
Республика Башкортостан,sales_revenue_rub,weighted_price_rub_per_liter,-0.6601678255519412,5
Республика Башкортостан,fine_count,weighted_price_rub_per_liter,0.3333698735688201,5
Республика Башкортостан,fined_clients,weighted_price_rub_per_liter,0.47551156858365723,5
Республика Башкортостан,total_fine_amount_rub,weighted_price_rub_per_liter,0.14032637938871015,5
Республика Башкортостан,average_fine_amount_rub,weighted_price_rub_per_liter,-0.8631288186707912,5
Республика Башкортостан,weighted_price_rub_per_liter,sold_volume_liters,-0.6747071105325322,5
Республика Башкортостан,sold_volume_liters,sold_volume_liters,1.0,5
Республика Башкортостан,fuel_sale_count,sold_volume_liters,0.9995387500446707,5
Республика Башкортостан,sales_revenue_rub,sold_volume_liters,0.9996946829618523,5
Республика Башкортостан,fine_count,sold_volume_liters,-0.5084769639561645,5
Республика Башкортостан,fined_clients,sold_volume_liters,-0.6266964093572728,5
Республика Башкортостан,total_fine_amount_rub,sold_volume_liters,-0.3846533799651172,5
Республика Башкортостан,average_fine_amount_rub,sold_volume_liters,0.5937000268584408,5
Республика Башкортостан,weighted_price_rub_per_liter,fuel_sale_count,-0.6881748122750525,5
Республика Башкортостан,sold_volume_liters,fuel_sale_count,0.9995387500446707,5
Республика Башкортостан,fuel_sale_count,fuel_sale_count,1.0,5
Республика Башкортостан,sales_revenue_rub,fuel_sale_count,0.9992033124494915,5
Республика Башкортостан,fine_count,fuel_sale_count,-0.48809701242791237,5
Республика Башкортостан,fined_clients,fuel_sale_count,-0.6098291063339639,5
Республика Башкортостан,total_fine_amount_rub,fuel_sale_count,-0.361248991642019,5
Республика Башкортостан,average_fine_amount_rub,fuel_sale_count,0.6045057329378901,5
Республика Башкортостан,weighted_price_rub_per_liter,sales_revenue_rub,-0.6601678255519412,5
Республика Башкортостан,sold_volume_liters,sales_revenue_rub,0.9996946829618523,5
Республика Башкортостан,fuel_sale_count,sales_revenue_rub,0.9992033124494915,5
Республика Башкортостан,sales_revenue_rub,sales_revenue_rub,1.0,5
Республика Башкортостан,fine_count,sales_revenue_rub,-0.4985005108391949,5
Республика Башкортостан,fined_clients,sales_revenue_rub,-0.6160762765938218,5
Республика Башкортостан,total_fine_amount_rub,sales_revenue_rub,-0.3781293241742392,5
Республика Башкортостан,average_fine_amount_rub,sales_revenue_rub,0.5777617022658543,5
Республика Башкортостан,weighted_price_rub_per_liter,fine_count,0.3333698735688201,5
Республика Башкортостан,sold_volume_liters,fine_count,-0.5084769639561645,5
Республика Башкортостан,fuel_sale_count,fine_count,-0.48809701242791237,5
Республика Башкортостан,sales_revenue_rub,fine_count,-0.4985005108391949,5
Республика Башкортостан,fine_count,fine_count,1.0,5
Республика Башкортостан,fined_clients,fine_count,0.9858207670328565,5
Республика Башкортостан,total_fine_amount_rub,fine_count,0.9750234325044141,5
Республика Башкортостан,average_fine_amount_rub,fine_count,-0.2011965056201009,5
Республика Башкортостан,weighted_price_rub_per_liter,fined_clients,0.47551156858365723,5
Республика Башкортостан,sold_volume_liters,fined_clients,-0.6266964093572728,5
Республика Башкортостан,fuel_sale_count,fined_clients,-0.6098291063339639,5
Республика Башкортостан,sales_revenue_rub,fined_clients,-0.6160762765938218,5
Республика Башкортостан,fine_count,fined_clients,0.9858207670328565,5
Республика Башкортостан,fined_clients,fined_clients,1.0,5
Республика Башкортостан,total_fine_amount_rub,fined_clients,0.9305228159347148,5
Республика Башкортостан,average_fine_amount_rub,fined_clients,-0.33152258408761076,5
Республика Башкортостан,weighted_price_rub_per_liter,total_fine_amount_rub,0.14032637938871015,5
Республика Башкортостан,sold_volume_liters,total_fine_amount_rub,-0.3846533799651172,5
Республика Башкортостан,fuel_sale_count,total_fine_amount_rub,-0.361248991642019,5
Республика Башкортостан,sales_revenue_rub,total_fine_amount_rub,-0.3781293241742392,5
Республика Башкортостан,fine_count,total_fine_amount_rub,0.9750234325044141,5
Республика Башкортостан,fined_clients,total_fine_amount_rub,0.9305228159347148,5
Республика Башкортостан,total_fine_amount_rub,total_fine_amount_rub,1.0,5
Республика Башкортостан,average_fine_amount_rub,total_fine_amount_rub,0.021181609486599248,5
Республика Башкортостан,weighted_price_rub_per_liter,average_fine_amount_rub,-0.8631288186707912,5
Республика Башкортостан,sold_volume_liters,average_fine_amount_rub,0.5937000268584408,5
Республика Башкортостан,fuel_sale_count,average_fine_amount_rub,0.6045057329378901,5
Республика Башкортостан,sales_revenue_rub,average_fine_amount_rub,0.5777617022658543,5
Республика Башкортостан,fine_count,average_fine_amount_rub,-0.2011965056201009,5
Республика Башкортостан,fined_clients,average_fine_amount_rub,-0.33152258408761076,5
Республика Башкортостан,total_fine_amount_rub,average_fine_amount_rub,0.021181609486599248,5
Республика Башкортостан,average_fine_amount_rub,average_fine_amount_rub,1.0,5
Республика Татарстан,weighted_price_rub_per_liter,weighted_price_rub_per_liter,1.0,5
Республика Татарстан,sold_volume_liters,weighted_price_rub_per_liter,-0.9053273991501386,5
Республика Татарстан,fuel_sale_count,weighted_price_rub_per_liter,-0.9317710417070965,5
Республика Татарстан,sales_revenue_rub,weighted_price_rub_per_liter,-0.8927759326550677,5
Республика Татарстан,fine_count,weighted_price_rub_per_liter,-0.15086755093956747,5
