week,fuel_liters,fines,fuel_rate_30d,fine_rate_30d,fuel_smooth,fine_smooth
2026-04-06,596007.5599999999,2599.0,108.84723715369302,0.47464829030431793,110.90802342499194,0.4820446949820112
2026-04-13,618575.78,2680.0,112.96880969629085,0.4894410996597045,111.49826564963566,0.48560592686386356
2026-04-20,616987.52,2698.0,112.6787500989231,0.49272839062756824,113.95071802957345,0.51141724853746
2026-04-27,636293.75,3023.0,116.20459429350637,0.552082255325107,112.44249980215379,0.5250534184782278
2026-05-04,593800.43,2904.0,108.44415501403186,0.5303496094820082,115.03470466125684,0.5629790161259884
2026-05-11,659569.41,3321.0,120.45536467623228,0.6065051835708503,114.208986479494,0.6108882381946685
2026-05-18,622729.76,3810.0,113.72743974821786,0.6958099215311471,118.81422240349671,0.6597105966433107
2026-05-25,669450.18,3706.0,122.25986278603997,0.6768166848279347,114.23419391364165,0.6933748911845813
2026-06-01,584333.74,3874.0,106.7152792066671,0.7074980671946625,112.92620397031698,0.7079241975053113
2026-06-08,601243.54,4049.0,109.80346991824386,0.7394578404933371,106.83436375700832,0.7113941157491676
2026-06-15,569380.13,3763.0,103.98434214611399,0.687226439559503,98.2975345317741,0.7059761732280588
2026-06-22,444100.1,3785.0,81.10479153096445,0.6912442396313364,87.54995647383255,0.6785820818291949
2026-06-29,424694.14999999997,3599.0,77.5607357444192,0.6572755662967449,79.83586251818663,0.652588132879606
2026-07-06,442661.48,3336.0,80.84206027917622,0.6092445927107366,74.90569431846545,0.6392563417321587
2026-07-13,363112.72,3566.0,66.31428693180088,0.6512488661889949,71.2542603899701,0.6375518204895628
2026-07-20,364712.41,3571.0,66.60643395893321,0.652162002568957,70.05222287832761,0.6133841442998983
2026-07-27,422915.73,2939.0,77.23594774424876,0.536741564141743,75.96629370118525,0.556404434190261
2026-08-03,460262.57,2630.0,84.05649940037378,0.48030973586008313,82.38987636133415,0.4726393902684012
2026-08-10,470231.96,2195.0,85.87718193937991,0.4008668708033774,81.51230968715947,0.41687719533204687
2026-08-17,408500.02999999997,2023.0,74.60324772172473,0.36945497933267996,79.13015115450877,0.3649501731915334
2026-08-24,421131.08999999997,1777.0,76.91002380242163,0.32452866943854286,75.75663576207319,0.3469918243856114
