client_id,weeks_post,weeks_pre,fines_post,fines_pre,liters_post,liters_pre,fuel_cost_post,fuel_cost_pre,fine_rate_30d_post,fine_rate_30d_pre,fuel_rate_30d_post,fuel_rate_30d_pre,fuel_price_pre,fuel_price_post,fuel_change,fine_change,price_change,proportional_fine_counterfactual,fine_above_proportional
00049004b7a7343f78e9102655724e90,13,8,0.0,0.0,709.04,0.0,49605.8034,0.0,0.0,0.0,233.74945054945056,0.0,,69.96192513821505,233.74945054945056,0.0,,0.0,0.0
000785004fc8858930fba388ae2753a8,13,8,0.0,0.0,138.65,76.63,9437.5929,5398.5835,0.0,0.0,45.70879120879121,41.05178571428571,70.45,68.06774540209159,4.657005494505505,0.0,-2.382254597908414,0.0,0.0
0008bb56f8889602d088e86dbd9dc472,13,8,4.0,1.0,386.96999999999997,114.72999999999999,34309.4235,8804.2878,1.3186813186813189,0.5357142857142857,127.57252747252747,61.46249999999999,76.73919463087249,88.66171408636329,66.11002747252748,0.7829670329670332,11.9225194554908,0.39305184041394453,0.9256294782673744
0008ca8e3bbd513d755f479af00c31e2,13,8,1.0,0.0,131.34,30.62,6644.9324,749.8838,0.3296703296703297,0.0,43.2989010989011,16.40357142857143,24.49,50.59336378864017,26.89532967032967,0.3296703296703297,26.10336378864017,0.0,0.3296703296703297
00093f3709c78522d2b7877db9659082,13,8,0.0,0.0,239.98,235.14,16453.6537,15917.9496,0.0,0.0,79.11428571428571,125.96785714285714,67.69562643531513,68.56260396699724,-46.85357142857143,0.0,0.8669775316821102,0.0,0.0
000c30e0449b137f28d713ef321d1249,13,8,0.0,0.0,465.07,308.73,30900.514300000003,20158.274,0.0,0.0,153.31978021978023,165.39107142857142,65.29418585819325,66.44271679532115,-12.071291208791195,0.0,1.1485309371279016,0.0,0.0
000cda29bfc42d4076b3f37c930234ba,13,8,0.0,3.0,0.0,490.87,0.0,32833.7625,0.0,1.607142857142857,0.0,262.96607142857147,66.88891661743435,,-262.96607142857147,-1.607142857142857,,1.1791555212418336,-1.1791555212418336
0017352a98cab3e93588f2fa70ee51f1,13,8,10.0,4.0,269.06,287.54,25171.88,21729.6974,3.2967032967032965,2.142857142857143,88.7010989010989,154.0392857142857,75.57104194199067,93.55489481899949,-65.33818681318681,1.1538461538461537,17.983852877008815,1.5722073616557781,1.7244959350475184
00184ae4d36a0e7536756073ff5c1d67,13,8,5.0,2.0,977.65,634.4100000000001,36451.2695,23738.5821,1.6483516483516483,1.0714285714285714,322.3021978021978,339.8625,37.418360523951385,37.28457985986805,-17.56030219780223,0.5769230769230769,-0.1337806640833321,0.7861036808278891,0.8622479675237592
0019f8e59d82c3cf2204d22e54e4912f,13,8,0.0,0.0,130.8,177.78,9294.981600000001,12153.1244,0.0,0.0,43.120879120879124,95.23928571428571,68.36047024412196,71.06255045871559,-52.11840659340659,0.0,2.702080214593636,0.0,0.0
001d382fca556c026efb585d0f8de60b,13,8,0.0,0.0,406.99,263.21000000000004,28185.7791,18169.3445,0.0,0.0,134.1725274725275,141.00535714285718,69.02984119144408,69.25423007936313,-6.832829670329687,0.0,0.22438888791904787,0.0,0.0
001efe475c3124ac8c01f9a570a72195,13,8,4.0,0.0,320.84000000000003,140.78,20727.5883,8457.59,1.3186813186813189,0.0,105.77142857142859,75.41785714285714,60.07664440971729,64.60412760254331,30.353571428571442,1.3186813186813189,4.5274831928260255,0.0,1.3186813186813189
0021f518b6f585c14828ee09c3552849,13,8,0.0,0.0,352.46999999999997,152.23,21956.2929,9422.411,0.0,0.0,116.19890109890109,81.5517857142857,61.89588780135322,62.29265724742532,34.64711538461539,0.0,0.3967694460720992,0.0,0.0
0023f77bc1b303d618e5078e2a60fd5d,13,8,1.0,0.0,346.15,298.07,22587.183600000004,19006.7899,0.3296703296703297,0.0,114.11538461538461,159.68035714285713,63.76619552454122,65.25258876209737,-45.56497252747252,0.3296703296703297,1.4863932375561575,0.0,0.3296703296703297
0024d63c7c23bb6e6c7637047188b053,13,8,0.0,0.0,35.62,157.48,2249.0468,9779.508,0.0,0.0,11.742857142857142,84.3642857142857,62.1,63.14000000000001,-72.62142857142855,0.0,1.0400000000000063,0.0,0.0
