client_id,cars_count,brands_count,car_price_mean,car_price_median,car_price_min,car_price_max,car_price_std,car_price_missing_count,car_age_mean,car_age_min,car_age_max,engine_l_mean,engine_l_max,horsepower_mean,horsepower_max,april_2025_fines_total,may_2025_fines_total,jun_2025_fines_total,jul_2025_fines_total,aug_2025_fines_total,fines_2025_5m_total,fines_last_6m_total,fines_7_12m_total,fines_13_24m_total,fines_25_36m_total,fines_last_12m_total,fines_last_24m_total,fines_last_36m_total,first_subscription_date,last_subscription_date,car_value_total,car_price_range,car_age_range,car_price_missing_share,historical_fines_5m_per_car,historical_fines_12m_per_car,service_tenure_years,subscription_after_cutoff,gender,age_type_code,home_region_code,fuel_transactions_pre,fuel_refund_orders_pre,fuel_refund_volume_pre,fuel_orders_pre,fuel_active_days_pre,fuel_liters_pre,fuel_spend_pre,fuel_mean_fill_liters_pre,fuel_median_fill_liters_pre,fuel_weighted_price_pre,fuel_refund_share_pre,fuel_orders_per_week_pre,fuel_active_days_per_week_pre,fuel_liters_per_week_pre,fuel_spend_per_week_pre,has_pre_fuel,fines_pre,fine_amount_pre,offence_types_pre,fine_active_days_pre,fines_per_week_pre,fine_amount_per_week_pre,has_pre_fine,fines_per_1000_liters_pre,cluster_id,cluster_label
9122e83613a0e07ebc41da2efdda607e,1,1,2250000.0,2250000.0,2250000.0,2250000.0,0.0,0,1.0,1.0,1.0,1.5,1.5,150.0,150.0,0,0,0,0,0,0,1,0,0,0,1,1,1,2026-03-05,2026-03-05,2250000.0,0.0,0.0,0.0,0.0,1.0,0.23819301848049282,0,M,A20,66,5.0,1.0,13.09,4.0,3.0,70.25,4438.6515,17.5625,16.884999999999998,63.1836512455516,0.2,0.3835616438356164,0.2876712328767123,6.736301369863013,425.62411643835617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"Кластер 2: новые автомобили, дорогой автопарк"
07786ea37c2db507d7a9d7d32541cb87,1,1,868333.0,868333.0,868333.0,868333.0,0.0,0,18.0,18.0,18.0,1.4,1.4,88.0,88.0,0,0,0,1,0,1,1,3,2,1,4,6,7,2022-07-31,2022-07-31,868333.0,0.0,0.0,0.0,1.0,4.0,3.8329911019849416,0,F,A40,77,4.0,0.0,-0.0,4.0,4.0,117.48,7437.546,29.37,28.12,63.309039836567926,0.0,0.3835616438356164,0.3835616438356164,11.265205479452055,713.1893424657534,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"Кластер 1: возрастные автомобили, доступный автопарк"
3590e6abb14ecc69c316273fdb03ba91,1,1,2460000.0,2460000.0,2460000.0,2460000.0,0.0,0,2.0,2.0,2.0,1.5,1.5,150.0,150.0,2,2,2,0,2,8,2,12,0,0,14,14,14,2025-12-20,2025-12-20,2460000.0,0.0,0.0,0.0,8.0,14.0,0.44353182751540043,0,M,A20,50,10.0,0.0,-0.0,10.0,10.0,444.46,30455.4267,44.446,49.315,68.52231179408722,0.0,0.958904109589041,0.958904109589041,42.619452054794515,2920.3833821917806,1.0,1.0,750.0,1.0,1.0,0.0958904109589041,71.91780821917808,1.0,2.2499212527561534,2,"Кластер 2: новые автомобили, дорогой автопарк"
e1a80cdb8ff6e0125f6834ad41b91be1,1,1,3566190.0,3566190.0,3566190.0,3566190.0,0.0,0,4.0,4.0,4.0,1.4,1.4,150.0,150.0,0,0,0,0,0,0,3,0,0,0,3,3,3,2026-02-01,2026-02-01,3566190.0,0.0,0.0,0.0,0.0,3.0,0.3258042436687201,0,M,A20,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,"Кластер 0: низкая топливная активность, один автомобиль"
3abe6b04795815efec320e99e3c55165,1,1,3977500.0,3977500.0,3977500.0,3977500.0,0.0,0,8.0,8.0,8.0,2.8,2.8,177.0,177.0,1,2,0,1,1,5,0,6,3,1,6,9,10,2024-01-29,2024-01-29,3977500.0,0.0,0.0,0.0,5.0,6.0,2.3353867214236823,0,M,A40,77,13.0,0.0,-0.0,13.0,12.0,550.71,39838.762,42.362307692307695,40.96,72.34072742459733,0.0,1.2465753424657533,1.1506849315068493,52.807808219178085,3820.1552602739725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"Кластер 2: новые автомобили, дорогой автопарк"
a40ac42819352cc2b7f47b710860454f,1,1,1812744.0,1812744.0,1812744.0,1812744.0,0.0,0,16.0,16.0,16.0,2.0,2.0,158.0,158.0,2,0,0,1,1,4,11,6,9,4,17,26,30,2024-06-04,2024-06-04,1812744.0,0.0,0.0,0.0,4.0,17.0,1.9876796714579055,0,M,A20,77,1.0,0.0,-0.0,1.0,1.0,60.54,1906.4045999999998,60.54,60.54,31.49,0.0,0.0958904109589041,0.0958904109589041,5.805205479452055,182.8059205479452,1.0,2.0,1500.0,1.0,2.0,0.1917808219178082,143.83561643835617,1.0,33.03600925008259,1,"Кластер 1: возрастные автомобили, доступный автопарк"
e01c8a139a0c9331f15e2409eafe24a9,2,2,2422839.0,2422839.0,2136395.0,2709283.0,405092.98966039886,0,9.5,7.0,12.0,2.0,2.0,183.0,186.0,2,5,5,5,2,19,18,35,13,0,53,66,66,2024-11-24,2026-03-06,4845678.0,572888.0,5.0,0.0,9.5,26.5,1.514031485284052,0,M,A20,50,9.0,0.0,-0.0,9.0,8.0,278.37,18883.0565,30.93,25.62,67.83438050077235,0.0,0.863013698630137,0.7671232876712328,26.693013698630136,1810.7040479452053,1.0,9.0,6750.0,1.0,6.0,0.863013698630137,647.2602739726027,1.0,32.33107015842224,3,"Кластер 3: несколько автомобилей, дорогой автопарк"
655f8cc17fdde62f9d0256daf28f318e,1,1,1329437.0,1329437.0,1329437.0,1329437.0,0.0,0,14.0,14.0,14.0,1.4,1.4,125.0,125.0,0,0,0,1,1,2,9,6,0,2,15,15,17,2022-12-14,2022-12-14,1329437.0,0.0,0.0,0.0,2.0,15.0,3.460643394934976,0,M,A40,50,10.0,0.0,-0.0,10.0,10.0,464.02,32917.1308,46.402,47.605,70.93903452437395,0.0,0.958904109589041,0.958904109589041,44.49506849315068,3156.4372,1.0,2.0,7000.0,2.0,2.0,0.1917808219178082,671.2328767123288,1.0,4.3101590448687555,1,"Кластер 1: возрастные автомобили, доступный автопарк"
bb59fa9d3c9acd741424853a2f8fc53e,3,3,2263137.0,1720000.0,1586602.0,3482809.0,1058370.7277173721,0,13.0,8.0,16.0,2.066666666666667,2.4,172.66666666666666,249.0,1,1,0,3,0,5,10,17,3,7,27,30,37,2022-11-02,2024-02-04,6789411.0,1896207.0,8.0,0.0,1.6666666666666667,9.0,3.575633127994524,0,M,A40,77,15.0,0.0,-0.0,15.0,13.0,563.86,41280.623400000004,37.59066666666667,38.44,73.2107675664172,0.0,1.4383561643835616,1.2465753424657533,54.06876712328767,3958.4159424657537,1.0,5.0,3750.0,1.0,5.0,0.4794520547945205,359.5890410958904,1.0,8.867449366864115,3,"Кластер 3: несколько автомобилей, дорогой автопарк"
c7c4a22a23060b2a2da39d3ef438b5e1,1,1,1880339.0,1880339.0,1880339.0,1880339.0,0.0,0,7.0,7.0,7.0,2.0,2.0,143.0,143.0,0,0,3,0,2,5,1,5,0,2,6,6,8,2023-10-09,2023-10-09,1880339.0,0.0,0.0,0.0,5.0,6.0,2.642026009582478,0,M,A20,50,6.0,0.0,-0.0,6.0,5.0,219.72,13697.0995,36.62,40.535,62.338883579100674,0.0,0.5753424657534246,0.4794520547945205,21.06904109589041,1313.4205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"Кластер 2: новые автомобили, дорогой автопарк"
